Student ID,School Year,Subject,Class Period,Number in Class,Final Grade
1,2023,AC,2,13,71
2,2023,AC,2,13,90
3,2023,AC,2,13,73
4,2023,AC,2,13,70
5,2023,AC,2,13,77
6,2023,AC,2,13,71
7,2023,AC,2,13,54
8,2023,AC,2,13,96
9,2023,AC,2,13,76
10,2023,AC,2,13,74
11,2023,AC,2,13,84
12,2023,AC,2,13,70
13,2023,AC,2,13,87
14,2023,PSC,3,14,38
15,2023,PSC,3,14,41
16,2023,PSC,3,14,55
17,2023,PSC,3,14,76
18,2023,PSC,3,14,82
19,2023,PSC,3,14,61
20,2023,PSC,3,14,80
21,2023,PSC,3,14,50
22,2023,PSC,3,14,40
23,2023,PSC,3,14,79
24,2023,PSC,3,14,82
25,2023,PSC,3,14,89
26,2023,PSC,3,14,53
27,2023,PSC,3,14,91
28,2023,PSC,4,18,38
29,2023,PSC,4,18,52
30,2023,PSC,4,18,74
31,2023,PSC,4,18,86
32,2023,PSC,4,18,61
33,2023,PSC,4,18,93
34,2023,PSC,4,18,53
35,2023,PSC,4,18,60
36,2023,PSC,4,18,74
37,2023,PSC,4,18,64
38,2023,PSC,4,18,62
39,2023,PSC,4,18,60
40,2023,PSC,4,18,96
41,2023,PSC,4,18,71
42,2023,PSC,4,18,80
43,2023,PSC,4,18,52
44,2023,PSC,4,18,47
45,2023,PSC,4,18,51
46,2023,AC,6,11,83
47,2023,AC,6,11,86
48,2023,AC,6,11,71
49,2023,AC,6,11,87
50,2023,AC,6,11,50
51,2023,AC,6,11,99
52,2023,AC,6,11,74
53,2023,AC,6,11,89
54,2023,AC,6,11,97
55,2023,AC,6,11,64
56,2023,AC,6,11,83
57,2023,AC,8,13,89
58,2023,AC,8,13,66
59,2023,AC,8,13,62
60,2023,AC,8,13,90
61,2023,AC,8,13,94
62,2023,AC,8,13,91
63,2023,AC,8,13,85
64,2023,AC,8,13,97
65,2023,AC,8,13,86
66,2023,AC,8,13,87
67,2023,AC,8,13,89
68,2023,AC,8,13,94
69,2023,AC,8,13,91
70,2024,CS,1,5,100
71,2024,CS,1,5,100
72,2024,CS,1,5,100
73,2024,CS,1,5,100
74,2024,CS,1,5,74
75,2024,CS,1,6,94
76,2024,CS,1,6,100
77,2024,CS,1,6,77
78,2024,CS,1,6,71
79,2024,CS,1,6,84
80,2024,CS,1,6,34
81,2024,AC,2,20,70
82,2024,AC,2,20,86
83,2024,AC,2,20,83
84,2024,AC,2,20,78
85,2024,AC,2,20,74
86,2024,AC,2,20,79
87,2024,AC,2,20,82
88,2024,AC,2,20,72
89,2024,AC,2,20,93
90,2024,AC,2,20,55
91,2024,AC,2,20,97
92,2024,AC,2,20,89
93,2024,AC,2,20,55
94,2024,AC,2,20,85
95,2024,AC,2,20,70
96,2024,AC,2,20,57
97,2024,AC,2,20,76
98,2024,AC,2,20,92
99,2024,AC,2,20,95
100,2024,AC,2,20,86
101,2024,PSC,3,13,72
102,2024,PSC,3,13,71
103,2024,PSC,3,13,73
104,2024,PSC,3,13,85
105,2024,PSC,3,13,63
106,2024,PSC,3,13,51
107,2024,PSC,3,13,75
108,2024,PSC,3,13,85
109,2024,PSC,3,13,99
110,2024,PSC,3,13,78
111,2024,PSC,3,13,88
112,2024,PSC,3,13,70
113,2024,PSC,3,13,94
114,2024,PSC,4,13,80
115,2024,PSC,4,13,59
116,2024,PSC,4,13,88
117,2024,PSC,4,13,46
118,2024,PSC,4,13,70
119,2024,PSC,4,13,88
120,2024,PSC,4,13,77
121,2024,PSC,4,13,86
122,2024,PSC,4,13,84
123,2024,PSC,4,13,81
124,2024,PSC,4,13,71
125,2024,PSC,4,13,57
126,2024,PSC,4,13,87
127,2024,PSC,4,13,81
128,2024,AC,7,18,91
129,2024,AC,7,18,84
130,2024,AC,7,18,89
